Date, Time, mavlink_attitude_t.roll, mavlink_attitude_t.pitch, mavlink_attitude_t.yaw, mavlink_attitude_t.rollspeed, mavlink_attitude_t.pitchspeed, mavlink_attitude_t.yawspeed, mavlink_vfr_hud_t.groundspeed, mavlink_vfr_hud_t.heading, mavlink_mission_request_t.seq, mavlink_mission_request_t.mission_type, mavlink_mission_request_t.target_component, mavlink_mission_item_int_t.current, mavlink_mission_count_t.count, mavlink_mission_current_t.seq
10/6/2020, 12:21:47 ,0.0295003,-0.02181633,-2.258832,-0.03540196,-0.155935,-0.03248661,0.4942749,230,33,0,190,0, t,2
10/6/2020, 12:21:48 ,0.00850359,0.01242131,-2.271273,0.1032036,0.04444209,0.003548941,0.4942749,230,33,0,190,0, t,2
10/6/2020, 12:21:48 ,0.00850359,0.01242131,-2.271273,0.1032036,0.04444209,0.003548941,0.4871363,229,33,0,190,0, t,2
10/6/2020, 12:21:48 ,0.00850359,0.01242131,-2.271273,0.1032036,0.04444209,0.003548941,0.4871363,229,33,0,190,0, t,2
10/6/2020, 12:21:49 ,0.04093517,-0.02036177,-2.282672,-0.0668347,0.00364093,-0.0273209,0.4871363,229,33,0,190,0, t,2
10/6/2020, 12:21:49 ,0.04093517,-0.02036177,-2.282672,-0.0668347,0.00364093,-0.0273209,0.4650719,229,33,0,190,0, t,2
10/6/2020, 12:21:49 ,0.008538321,-0.01670312,-2.30021,0.03961878,-0.1286469,-0.04656017,0.4650719,229,33,0,190,0, t,2
10/6/2020, 12:21:49 ,0.008538321,-0.01670312,-2.30021,0.03961878,-0.1286469,-0.04656017,0.512763,228,33,0,190,0, t,2
10/6/2020, 12:21:49 ,0.008538321,-0.01670312,-2.30021,0.03961878,-0.1286469,-0.04656017,0.512763,228,33,0,190,0, t,2
10/6/2020, 12:21:49 ,0.04241534,-0.005150624,-2.318069,0.003831684,-0.1810401,-0.0523629,0.512763,228,33,0,190,0, t,2
10/6/2020, 12:21:49 ,0.04241534,-0.005150624,-2.318069,0.003831684,-0.1810401,-0.0523629,0.4911401,227,33,0,190,0, t,2
10/6/2020, 12:21:50 ,0.04241534,-0.005150624,-2.318069,0.003831684,-0.1810401,-0.0523629,0.4911401,227,33,0,190,0, t,2
10/6/2020, 12:21:50 ,0.00966263,0.02348677,-2.320025,0.1362662,0.0376659,0.01696638,0.4911401,227,33,0,190,0, t,2
10/6/2020, 12:21:50 ,0.00966263,0.02348677,-2.320025,0.1362662,0.0376659,0.01696638,0.5064185,227,33,0,190,0, t,2
10/6/2020, 12:21:50 ,0.00966263,0.02348677,-2.320025,0.1362662,0.0376659,0.01696638,0.5064185,227,33,0,190,0, t,2
10/6/2020, 12:21:51 ,-0.002691057,-0.01418296,-2.331876,-0.2403617,-0.05320217,0.03321033,0.5064185,227,33,0,190,0, t,2
10/6/2020, 12:21:51 ,-0.002691057,-0.01418296,-2.331876,-0.2403617,-0.05320217,0.03321033,0.4867823,226,33,0,190,0, t,2
10/6/2020, 12:21:51 ,-0.002691057,-0.01418296,-2.331876,-0.2403617,-0.05320217,0.03321033,0.4867823,226,33,0,190,0, t,2
10/6/2020, 12:21:52 ,0.003808646,0.007312447,-2.356435,0.04088415,0.04162205,-0.02903694,0.4867823,226,33,0,190,0, t,2
10/6/2020, 12:21:52 ,0.003808646,0.007312447,-2.356435,0.04088415,0.04162205,-0.02903694,0.4832437,224,33,0,190,0, t,2
10/6/2020, 12:21:52 ,0.003808646,0.007312447,-2.356435,0.04088415,0.04162205,-0.02903694,0.4832437,224,33,0,190,0, t,2
10/6/2020, 12:21:53 ,0.02531293,-0.02651908,-2.382705,-0.1004042,-0.02772563,0.000982171,0.4832437,224,33,0,190,0, t,2
10/6/2020, 12:21:53 ,0.02531293,-0.02651908,-2.382705,-0.1004042,-0.02772563,0.000982171,0.46691,223,33,0,190,0, t,2
10/6/2020, 12:21:53 ,0.03864445,-0.03184688,-2.397362,0.05996476,-0.2125113,-0.05106359,0.46691,223,33,0,190,0, t,2
10/6/2020, 12:21:53 ,0.03864445,-0.03184688,-2.397362,0.05996476,-0.2125113,-0.05106359,0.4905436,222,33,0,190,0, t,2
10/6/2020, 12:21:53 ,0.03864445,-0.03184688,-2.397362,0.05996476,-0.2125113,-0.05106359,0.4905436,222,33,0,190,0, t,2
10/6/2020, 12:21:53 ,0.004694497,0.01757503,-2.398242,0.02299003,-0.09595415,-0.001922918,0.4905436,222,33,0,190,0, t,2
10/6/2020, 12:21:53 ,0.004694497,0.01757503,-2.398242,0.02299003,-0.09595415,-0.001922918,0.4648198,222,33,0,190,0, t,2
10/6/2020, 12:21:54 ,0.04073631,-0.006503042,-2.415674,0.02050743,0.1140973,0.003607556,0.4648198,222,33,0,190,0, t,2
10/6/2020, 12:21:54 ,0.04073631,-0.006503042,-2.415674,0.02050743,0.1140973,0.003607556,0.4728233,221,33,0,190,0, t,2
10/6/2020, 12:21:55 ,0.04073631,-0.006503042,-2.415674,0.02050743,0.1140973,0.003607556,0.4728233,221,33,0,190,0, t,2
10/6/2020, 12:21:55 ,-0.001275681,-0.0169736,-2.414913,-0.2290248,-0.02756679,0.01446045,0.4728233,221,33,0,190,0, t,2
10/6/2020, 12:21:55 ,-0.001275681,-0.0169736,-2.414913,-0.2290248,-0.02756679,0.01446045,0.4841729,221,33,0,190,0, t,2
10/6/2020, 12:21:55 ,0.0416771,0.02135153,-2.421307,0.3290416,0.003801237,-0.0514449,0.4841729,221,33,0,190,0, t,2
10/6/2020, 12:21:55 ,0.0416771,0.02135153,-2.421307,0.3290416,0.003801237,-0.0514449,0.5339468,221,33,0,190,0, t,2
10/6/2020, 12:21:55 ,0.0416771,0.02135153,-2.421307,0.3290416,0.003801237,-0.0514449,0.5339468,221,33,0,190,0, t,2
10/6/2020, 12:21:56 ,-0.002045296,-0.01555051,-2.419739,-0.3298433,0.09809927,0.06840785,0.5339468,221,33,0,190,0, t,2
10/6/2020, 12:21:56 ,-0.002045296,-0.01555051,-2.419739,-0.3298433,0.09809927,0.06840785,0.4782059,221,33,0,190,0, t,2
10/6/2020, 12:21:56 ,-0.002045296,-0.01555051,-2.419739,-0.3298433,0.09809927,0.06840785,0.5360194,221,33,0,190,0, t,2
10/6/2020, 12:21:56 ,-0.002045296,-0.01555051,-2.419739,-0.3298433,0.09809927,0.06840785,0.5360194,221,33,0,190,0, t,2
10/6/2020, 12:21:57 ,-0.002045296,-0.01555051,-2.419739,-0.3298433,0.09809927,0.06840785,0.5360194,221,33,0,190,0, t,2
10/6/2020, 12:21:58 ,0.001512473,0.01263272,-2.428825,0.1667645,0.04986922,-0.03508642,0.5360194,221,33,0,190,0, t,2
10/6/2020, 12:21:58 ,0.001512473,0.01263272,-2.428825,0.1667645,0.04986922,-0.03508642,0.5269287,220,33,0,190,0, t,2
10/6/2020, 12:21:58 ,0.04886543,-0.01872476,-2.433534,-0.09929427,0.03657563,0.02297871,0.5269287,220,33,0,190,0, t,2
10/6/2020, 12:21:58 ,0.04886543,-0.01872476,-2.433534,-0.09929427,0.03657563,0.02297871,0.5140586,220,33,0,190,0, t,2
10/6/2020, 12:21:58 ,0.04886543,-0.01872476,-2.433534,-0.09929427,0.03657563,0.02297871,0.5140586,220,33,0,190,0, t,2
10/6/2020, 12:21:59 ,0.04679408,0.008925416,-2.443101,0.1233058,-0.008862736,-0.02139882,0.5140586,220,33,0,190,0, t,2
10/6/2020, 12:21:59 ,0.04679408,0.008925416,-2.443101,0.1233058,-0.008862736,-0.02139882,0.5244284,220,33,0,190,0, t,2
